epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1721.3,0.66129,0.70947,1.13294,0.67095,0.65217,0.64254,0.30473,1.74104,1.81979,2.17975,0.0011882,0.0011882,0.0011882
43,1760.4,0.73699,0.75932,1.19338,0.72681,0.56522,0.57186,0.34063,1.56375,1.83907,1.97151,0.0011684,0.0011684,0.0011684
44,1792.97,0.65719,0.65845,1.11759,0.78591,0.56522,0.61696,0.3541,1.71298,1.72667,2.12071,0.0011486,0.0011486,0.0011486
45,1829.92,0.64643,0.66294,1.10499,0.83225,0.65217,0.70375,0.37066,1.68692,1.62178,2.20682,0.0011288,0.0011288,0.0011288
46,1865.91,0.65407,0.69594,1.16562,0.80897,0.73659,0.78863,0.45624,1.38814,1.45914,1.84647,0.001109,0.001109,0.001109
47,1897.4,0.67105,0.64622,1.17787,0.75505,0.6706,0.74275,0.46639,1.3757,1.42717,1.80264,0.0010892,0.0010892,0.0010892
48,1929.45,0.5981,0.6492,1.0981,0.78018,0.43478,0.50175,0.25641,1.99853,1.88673,2.65641,0.0010694,0.0010694,0.0010694
49,1975.88,0.63115,0.63073,1.10541,0.92518,0.56522,0.66032,0.36451,1.71196,1.78972,2.21371,0.0010496,0.0010496,0.0010496
50,2010.46,0.58843,0.62648,1.0837,0.93043,0.65217,0.69994,0.40376,1.52348,1.58276,1.96351,0.0010298,0.0010298,0.0010298
51,2042.39,0.62674,0.57975,1.10392,0.92116,0.56522,0.69364,0.38504,1.55961,1.47513,2.06289,0.00101,0.00101,0.00101
52,2083.21,0.58882,0.61004,1.08147,0.99119,0.69565,0.80223,0.42812,1.49551,1.46274,1.95454,0.0009902,0.0009902,0.0009902
53,2127.56,0.60221,0.56911,1.08301,0.87973,0.73913,0.84631,0.48231,1.38268,1.23553,1.86572,0.0009704,0.0009704,0.0009704
54,2159.12,0.5966,0.60867,1.11242,0.95959,0.69565,0.8329,0.46989,1.41735,1.21646,1.95667,0.0009506,0.0009506,0.0009506
55,2192.56,0.66161,0.67798,1.16747,0.84388,0.6087,0.70153,0.37941,1.63444,1.40246,2.25658,0.0009308,0.0009308,0.0009308
56,2238.28,0.57888,0.59639,1.07443,0.75392,0.69565,0.72766,0.37024,1.63119,1.44818,2.17056,0.000911,0.000911,0.000911
57,2289.38,0.56656,0.58413,1.05834,0.84653,0.72,0.82744,0.42681,1.35594,1.22051,1.97614,0.0008912,0.0008912,0.0008912
58,2324.86,0.56148,0.57142,1.0684,0.79463,0.73913,0.79448,0.44955,1.48136,1.16911,2.13942,0.0008714,0.0008714,0.0008714
59,2357.6,0.56462,0.54151,1.06358,0.8813,0.64597,0.71108,0.36079,1.73005,1.5508,2.55626,0.0008516,0.0008516,0.0008516
