epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3409.16,0.59393,0.48088,1.14867,0.94083,0.93557,0.98195,0.63244,0.93858,0.68157,1.94573,0.0011882,0.0011882,0.0011882
43,3485.96,0.61477,0.49649,1.14509,0.85905,0.82353,0.8744,0.51658,1.27678,1.10624,2.23866,0.0011684,0.0011684,0.0011684
44,3563.3,0.59647,0.49189,1.15327,0.93267,0.81531,0.88005,0.64725,0.94529,0.75715,1.87639,0.0011486,0.0011486,0.0011486
45,3645.28,0.59858,0.49848,1.16418,0.99861,0.88235,0.97529,0.68226,0.91628,0.64597,1.87033,0.0011288,0.0011288,0.0011288
46,3719.36,0.58974,0.4887,1.1202,0.93004,1,0.98889,0.67003,1.01173,0.61482,1.92614,0.001109,0.001109,0.001109
47,3800.1,0.58845,0.4715,1.13975,1,0.93557,0.979,0.68329,1.00755,0.58469,2.06482,0.0010892,0.0010892,0.0010892
48,3881.53,0.57419,0.45383,1.12014,0.93707,0.94118,0.98364,0.73385,0.90435,0.63633,1.90177,0.0010694,0.0010694,0.0010694
49,3957.18,0.56293,0.46261,1.12757,0.83575,0.94118,0.94537,0.70811,0.97902,0.79854,1.93369,0.0010496,0.0010496,0.0010496
50,4039.13,0.57845,0.47347,1.13976,0.84058,0.93097,0.9127,0.68465,0.94791,0.82449,1.80015,0.0010298,0.0010298,0.0010298
51,4120.06,0.5678,0.46642,1.13779,1,0.87865,0.96131,0.6938,0.99384,0.79787,1.98208,0.00101,0.00101,0.00101
52,4198.24,0.55867,0.47912,1.11727,0.88134,0.94118,0.96494,0.68457,0.94207,0.79245,1.78154,0.0009902,0.0009902,0.0009902
53,4279.62,0.55706,0.45811,1.11092,0.88073,1,0.98621,0.72673,0.87103,0.5596,1.78459,0.0009704,0.0009704,0.0009704
54,4360.86,0.50849,0.42533,1.07855,0.94302,1,0.99222,0.72095,0.97613,0.50726,1.8921,0.0009506,0.0009506,0.0009506
55,4440.84,0.5449,0.45303,1.11535,1,0.99997,0.995,0.70668,1.00979,0.5629,1.90214,0.0009308,0.0009308,0.0009308
56,4520.55,0.53445,0.45248,1.09376,0.82816,0.94118,0.95683,0.69608,0.92311,0.67922,1.8467,0.000911,0.000911,0.000911
57,4601.45,0.52544,0.43077,1.10867,0.99501,0.94118,0.97242,0.69858,0.93165,0.55814,1.86094,0.0008912,0.0008912,0.0008912
58,4682.66,0.52025,0.41814,1.10067,0.94021,0.92579,0.98195,0.77908,0.91701,0.538,1.76706,0.0008714,0.0008714,0.0008714
59,4768.04,0.5411,0.42072,1.10135,0.8756,0.82836,0.93361,0.70656,0.90091,0.73001,1.72934,0.0008516,0.0008516,0.0008516
60,4849.61,0.52501,0.42403,1.09471,0.84499,0.82353,0.84609,0.61266,0.99081,1.00167,1.83257,0.0008318,0.0008318,0.0008318
61,4931.83,0.51458,0.42538,1.0953,0.83597,0.76471,0.82101,0.61269,0.99139,1.08121,1.829,0.000812,0.000812,0.000812
62,5015.27,0.5004,0.3992,1.08911,0.96788,0.82353,0.94618,0.73022,0.87529,0.65321,1.75527,0.0007922,0.0007922,0.0007922
63,5112.61,0.49809,0.41875,1.0924,0.94082,0.9355,0.98268,0.73462,0.85455,0.60171,1.75867,0.0007724,0.0007724,0.0007724
64,5233.81,0.48392,0.38768,1.08482,0.93766,1,0.99222,0.74912,0.91916,0.46394,1.92464,0.0007526,0.0007526,0.0007526
65,5352.63,0.49035,0.39777,1.06627,0.99089,1,0.995,0.77173,0.92182,0.5008,1.91269,0.0007328,0.0007328,0.0007328
66,5475.27,0.4845,0.38819,1.06085,0.94355,0.98387,0.98556,0.7124,0.945,0.50472,1.97598,0.000713,0.000713,0.000713
67,5595.28,0.49345,0.40345,1.07703,0.93666,0.94118,0.97078,0.71592,0.84674,0.61877,1.74444,0.0006932,0.0006932,0.0006932
68,6114.37,0.45432,0.36558,1.0435,1,0.91666,0.97536,0.70166,0.91583,0.71139,1.77133,0.0006734,0.0006734,0.0006734
69,6195.64,0.47213,0.38165,1.03991,0.858,0.88235,0.92773,0.67619,0.96308,0.73317,1.82177,0.0006536,0.0006536,0.0006536
70,6269.25,0.50118,0.40353,1.06996,0.93288,0.8179,0.93126,0.66666,1.00811,0.71163,1.90849,0.0006338,0.0006338,0.0006338
71,6345.8,0.47188,0.37944,1.06508,1,0.88122,0.97843,0.72668,0.91269,0.51475,1.79353,0.000614,0.000614,0.000614
72,6434.09,0.46902,0.39228,1.0488,0.99165,0.94118,0.99222,0.76526,0.88843,0.44448,1.82106,0.0005942,0.0005942,0.0005942
73,6507.92,0.44259,0.36592,1.0516,0.93722,1,0.99222,0.7256,0.94115,0.47556,1.8655,0.0005744,0.0005744,0.0005744
74,6575.71,0.44462,0.37301,1.04225,0.93564,0.94118,0.96589,0.73041,0.85327,0.70575,1.70437,0.0005546,0.0005546,0.0005546
75,6650.73,0.43542,0.35856,1.04349,0.87591,0.88235,0.94707,0.75529,0.83285,0.66737,1.71843,0.0005348,0.0005348,0.0005348
76,6717.93,0.41795,0.34439,1.01197,0.8809,0.87074,0.9405,0.73574,0.84775,0.73962,1.73941,0.000515,0.000515,0.000515
77,6789.15,0.42243,0.35091,1.03942,0.99421,0.82353,0.96116,0.71347,0.86862,0.5787,1.81966,0.0004952,0.0004952,0.0004952
78,6870.17,0.46112,0.3757,1.04461,0.84048,0.93026,0.91357,0.7342,0.85504,0.48621,1.80028,0.0004754,0.0004754,0.0004754
79,6950.9,0.43252,0.36611,1.05837,0.89346,0.98714,0.98342,0.71667,0.85403,0.49856,1.81946,0.0004556,0.0004556,0.0004556
80,7027.31,0.44224,0.35316,1.05574,0.93773,1,0.98222,0.69773,0.88909,0.53153,1.82627,0.0004358,0.0004358,0.0004358
81,7095.72,0.43084,0.33961,1.05068,0.84645,1,0.95893,0.69594,0.8678,0.60178,1.75464,0.000416,0.000416,0.000416
82,7173.78,0.43254,0.34249,1.04306,0.88246,0.94118,0.94568,0.71256,0.83547,0.59861,1.69577,0.0003962,0.0003962,0.0003962
